Genotype,mean_area,sd_area
yw,1812409,26772.86
dopRNAi-BL27658,1754854,33343.57
dopRNAi-BL36059,1762561,29479
dopRNAi-BL44547,1798894,57797.14
dop-PDZ,1773086,71094.8
dop-Kinase,1919843,33215.45
dop-DUF,1890995,64171.23
dop-HA,1756227,72032.38
dop-GFP,1908890,27452.06
