"","relative mean","relative_sd"
"yw",0,0.0871806678188812
"dopRNAi-BL27658",7.62491052879665,0.0538818654376584
"dopRNAi-BL36059",0.811423799631059,0.0510214885788936
"dopRNAi-BL44547",-14.2662924879105,0.00915462078924572
"dop-PDZ",-13.6152621869963,0.0610287149630885
"dop-Kinase",-10.2936983176504,0.0751905480882754
"dop-HA",-13.6152621869963,0.0610287149630885
"dop-GFP",-3.98117758651793,0.0498421379183387
"",NA,NA
