"","relative mean","relative_sd"
"yw",0,0.0147719747584568
"dopRNAi-BL27658",-3.17560771327002,0.0190007658756797
"dopRNAi-BL36059",-2.75037257042974,0.0167250949045168
"dopRNAi-BL44547",-0.745692611325589,0.0321292638699112
"dop-PDZ",-2.16965375916805,0.0400966450583897
"dop-Kinase",5.92769071440276,0.0173011282693429
"dop-DUF",4.33599700729802,0.0339351664071031
"dop-HA",-3.09985218568215,0.0410154154331986
"dop-GFP",5.32335692440282,0.014381163922489
